21143,84432,0,29297,0,117771,0,0,86858,29501,7425,59767,86251,10809,0,0,29099,0,19135,0,0,22384,0,0,0,0,72094,41467,0,0,14862,105677,133998,0,0,0,0,0,0,14405,30106,61893,9036,0,70796,0,0,66438,0,56220,135936,166209,94115,0,0,0,80790,87090,63481,110005,
0,0,139421,0,0,60567,857,77831,34762,28381,0,0,0,0,0,0,0,0,0,97392,0,0,24542,51197,16273,55223,0,0,87783,137600,0,56725,0,87603,0,0,0,23730,0,65129,63066,0,33099,5986,48125,6985,60673,0,118885,0,0,11983,207710,0,80781,0,10542,29922,25512,30519,
17502,0,0,55993,0,0,0,0,0,23189,0,29770,7202,0,4236,48743,205808,0,21177,96657,26317,49950,31862,0,0,37731,0,0,63690,157075,108483,56439,0,34594,112632,126074,150598,70100,51841,75940,4361,0,177282,0,53321,0,0,0,22493,0,0,0,157935,0,57104,0,0,0,44122,0,
17542,0,218743,87021,94263,0,0,0,0,37612,67431,12634,151321,0,0,0,0,55370,0,0,1890,9888,0,0,63806,47711,18322,0,0,0,0,130185,32100,33240,0,31536,0,38775,0,26912,0,0,45002,0,51064,91673,38813,53209,55659,0,18273,0,86912,3215,81087,36580,0,16884,26485,37763,
26551,0,44017,0,0,0,0,120639,0,134575,0,0,56082,0,29832,113630,0,111620,0,124591,0,0,10017,0,94924,106820,102714,69844,64324,0,0,0,66810,28602,0,0,225735,91447,157615,159423,0,0,80400,41182,67535,0,84686,143243,0,13807,46718,0,62900,17927,57531,57481,0,0,44740,0,
0,0,0,12475,104470,0,0,66565,87209,889,2237,0,136623,0,0,0,0,0,119226,0,54336,0,0,32246,0,6498,128776,60590,67888,1634,17318,0,0,0,0,41833,0,21726,50334,75880,0,0,22626,0,0,131043,0,110357,22524,51780,0,31200,0,0,67698,102135,0,0,0,0,
42997,0,0,0,0,22398,0,0,16429,0,99292,62227,28850,0,0,74713,52485,82420,0,11701,0,11113,104933,22717,27149,138251,0,49612,0,0,0,0,0,0,123712,169,0,0,19165,187925,60059,109536,91483,0,0,0,0,0,82687,0,0,0,48974,0,179980,0,142791,130128,0,0,
0,95919,0,0,136995,0,0,0,0,90466,53250,69100,0,0,19546,3355,0,0,0,6221,0,206447,0,0,83894,0,67858,0,0,13186,34874,40091,0,0,5370,0,41996,26445,0,9807,0,0,0,0,44259,14906,0,17610,126826,0,3286,0,116678,0,321,31735,174309,0,7218,0,
0,91829,48095,147069,0,13475,0,57691,0,177952,0,12433,4634,0,1029,0,0,26191,0,0,0,0,0,14889,100450,61281,119499,0,177323,6658,0,0,77810,0,688,0,9050,0,0,0,0,0,0,44507,0,0,170796,0,50163,85776,22498,0,0,0,43825,0,81771,59486,23873,63637,
0,0,42042,117312,0,0,221,26819,0,0,0,0,0,0,0,46399,0,0,162197,0,0,0,81484,0,86607,8816,0,0,45677,100804,0,0,0,0,0,0,41460,0,43413,41445,10254,0,110957,53282,0,41828,0,58507,0,28242,95588,51157,0,78725,50024,0,69329,40756,0,0,
0,88360,0,27419,0,0,0,0,24947,0,27622,55203,0,0,0,79301,134809,0,34168,25542,0,34147,0,0,106935,0,0,0,0,65964,140840,0,33263,0,81095,28212,116393,0,0,0,136100,147648,0,60150,0,57246,2010,0,0,129267,6376,0,87889,13792,0,63641,0,0,0,48736,
0,55537,17098,133827,0,106423,29581,0,23552,0,21913,0,0,78447,25412,42656,55015,0,43075,40396,47946,62883,59606,0,0,0,0,75015,58011,21732,0,0,0,33077,46296,0,0,170884,23835,0,16600,111058,0,44504,0,0,27284,0,106466,0,128520,56955,38346,89266,0,92274,108170,75777,7808,101574,
0,0,0,0,0,0,0,38035,88184,42902,14536,0,40908,5534,0,0,0,0,0,0,128845,0,133233,31145,0,0,0,0,27592,92331,89045,0,0,72708,41267,0,34860,98392,214270,30067,8856,2116,13954,0,0,16069,70805,27775,6915,160387,0,0,0,130560,105270,0,57803,0,0,0,
67717,108527,42572,198952,42147,0,57557,0,0,54690,156354,0,107325,57249,97137,0,50573,0,0,0,19612,475,41267,23470,32313,38603,2933,0,0,21153,0,0,72271,56959,0,146923,21241,79672,0,36916,15923,68378,72649,19381,21570,0,0,0,97347,0,55046,0,0,0,57047,0,66745,0,0,138390,
0,0,42781,0,0,19799,0,42759,130313,0,92171,0,0,0,91014,13197,151702,51703,0,0,56897,42447,48498,0,860,0,103064,0,0,0,5968,85995,2290,0,0,68209,0,98133,0,88787,55411,0,0,0,75447,13968,0,15101,0,0,111574,0,21335,0,0,21396,8893,0,0,0,
0,0,0,114136,72146,0,139295,55538,0,24056,54306,5978,0,0,0,163186,64761,61254,0,73263,63029,0,63951,32249,0,0,77035,129594,0,41513,21561,0,0,5725,0,73436,0,0,0,0,1351,13904,19628,6966,0,0,0,0,0,116301,0,43340,62694,0,63470,0,107195,129559,0,71326,
14690,0,30211,0,0,0,10561,41806,6603,0,32077,103133,0,0,62980,13843,49291,0,0,0,68544,68373,103158,13482,97143,0,124091,8713,51730,0,0,56160,37781,21952,118708,63826,0,0,0,62024,0,0,21456,0,0,31629,0,0,0,0,17915,28863,0,4975,14476,0,0,0,0,0,
0,40913,75641,0,132230,10392,0,44975,0,0,51010,0,113419,0,147239,0,0,60725,51383,0,0,217674,0,0,114716,0,0,0,85100,0,132735,0,13766,6738,0,0,0,115382,0,112934,30638,83399,0,43765,0,103344,3575,0,0,0,91753,109862,100508,44399,23384,72733,0,0,53100,362,
0,12775,142583,0,0,0,105798,28081,0,0,77943,9673,53368,69883,119697,0,0,81144,16910,0,17467,148964,119370,0,150834,0,21367,0,117023,9761,0,3906,0,0,0,0,97390,0,0,0,0,118384,0,86423,76742,0,98587,0,0,67157,133861,0,0,0,0,22883,0,33673,151296,0,
